"","x"
"z_1[2,5]",-0.129609668137391
"z_1[1,6]",-1.14793745656217
"z_1[2,6]",-0.285775060648279
"z_1[1,7]",-0.0821650035837909
"z_1[2,7]",-0.737480652087586
"z_1[1,8]",2.09741043323553
"z_1[2,8]",1.57603417700144
"z_1[1,9]",-1.19903465202867
"z_1[2,9]",-1.50532715110971
"z_1[1,10]",0.0977874301046968
"z_1[2,10]",-0.810909215930729
"z_1[1,11]",-0.0757638300747179
"z_1[2,11]",-0.812313561930138
"z_1[1,12]",2.29610281045872
"z_1[2,12]",-0.454068738681614
"z_1[1,13]",0.487730079364916
"z_1[2,13]",0.449577211954721
"z_1[1,14]",0.0274883887968417
"z_1[2,14]",-0.678353364026984
"z_1[1,15]",0.378931849165814
"z_1[2,15]",-0.602456914945215
"z_1[1,16]",0.19148141079033
"z_1[2,16]",-0.619985140025274
"z_1[1,17]",1.29819570971907
"z_1[2,17]",-1.4022449509155
"z_1[1,18]",0.140219466035903
"z_1[2,18]",-0.00451025160528969
"z_1[1,19]",-0.382855992805468
"z_1[2,19]",-0.302630103957503
"z_1[1,20]",0.901618646125427
"z_1[2,20]",-1.16022405103737
"z_1[1,21]",0.275159813378336
"z_1[2,21]",-1.25519812181567
"z_1[1,22]",-0.312466953647255
"z_1[2,22]",-0.0555002829230497
"z_1[1,23]",-0.0780436699516713
"z_1[2,23]",-0.571985312038947
"z_1[1,24]",0.703263523012591
"z_1[2,24]",-0.692631979827962
"z_1[1,25]",-0.531809515638402
"z_1[2,25]",-0.21401967216086
"z_1[1,26]",0.756502038415387
"z_1[2,26]",-0.742227020761087
"z_1[1,27]",-0.391810180977468
"z_1[2,27]",-0.0786950155013351
"z_1[1,28]",0.331797605598472
"z_1[2,28]",-0.16757005006848
"z_1[1,29]",0.634618047249369
"z_1[2,29]",-0.61568994292242
"z_1[1,30]",0.562026691814723
"z_1[2,30]",-0.38030561842057
"z_1[1,31]",1.87828536567865
"z_1[2,31]",-1.63037108006138
"z_1[1,32]",-0.357219194720861
"z_1[2,32]",-0.788677106742687
"z_1[1,33]",-0.598703853208656
"z_1[2,33]",0.461409891306572
"z_1[1,34]",-0.327369841899023
"z_1[2,34]",-1.32239447865771
"z_1[1,35]",-0.571172302846632
"z_1[2,35]",-0.513642462519385
"z_1[1,36]",-0.211161140215449
"z_1[2,36]",2.68229796448921
"z_1[1,37]",-0.428935878425594
"z_1[2,37]",-0.788014094751531
"z_1[1,38]",1.25824250443283
"z_1[2,38]",-0.111102229928382
"z_1[1,39]",-0.456638633774421
"z_1[2,39]",-1.1250736364903
"z_1[1,40]",2.4970648065219
"z_1[2,40]",1.47685513752458
"z_1[1,41]",-0.14914507913075
"z_1[2,41]",-0.036643082802561
"z_1[1,42]",-2.41746243646862
"z_1[2,42]",0.272802772741328
"z_1[1,43]",0.4051220802685
"z_1[2,43]",-1.07938398672622
"z_1[1,44]",-0.0311010014885326
"z_1[2,44]",-0.772631160552858
"z_1[1,45]",0.156805538853805
"z_1[2,45]",-0.413083400738235
"z_1[1,46]",-0.739927183335142
"z_1[2,46]",-0.749662374024979
"z_1[1,47]",0.4728344705509
"z_1[2,47]",-0.230830498809125
"z_1[1,48]",0.272594877547313
"z_1[2,48]",-0.69910198288461
"z_1[1,49]",0.402963155342544
"z_1[2,49]",-0.322419528351343
"z_1[1,50]",-0.488791673627096
"z_1[2,50]",-0.37196437140634
"z_1[1,51]",0.138770724515814
"z_1[2,51]",0.796963087687708
"z_1[1,52]",0.868337128611906
"z_1[2,52]",2.43710510825209
"z_1[1,53]",1.45839500448977
"z_1[2,53]",-1.35065611477202
"z_1[1,54]",0.264540237409889
"z_1[2,54]",-0.61028994125892
"L_1[1,1]",1
"L_1[2,1]",-0.610568646302719
"L_1[1,2]",0
"L_1[2,2]",0.782486790070232
